State,District,delta_confirmed,delta_deceased,delta_recovered,delta_vaccinated1,delta_vaccinated2,delta_tested,delta7_confirmed,delta7_deceased,delta7_recovered,delta7_vaccinated1,delta7_vaccinated2,delta7_tested,meta_population,total_confirmed,total_deceased,total_recovered,total_vaccinated1,total_vaccinated2,total_tested
DN,Daman,0,0,1,0,0,0,0,0,2,1880,6793,0,191173,3543,1,3516,234202,155547,19338
DN,Diu,0,0,0,0,0,0,0,0,0,52,690,0,52074,1218,0,1218,38779,31153,8259
GA,North Goa,0,0,0,1070,5967,0,0,0,0,4007,23958,0,817761,0,0,0,600586,424066,0
GA,South Goa,0,0,0,1492,6405,0,0,0,0,4401,22504,0,639962,0,0,0,661972,487016,0
GA,Unknown,23,0,53,0,0,0,222,6,409,0,0,0,0,178108,3364,174392,0,0,0
GJ,Ahmedabad,4,0,2,1765,11394,0,22,0,14,47316,169891,0,7208200,238334,3411,234889,5961594,3439921,2556492
GJ,Amreli,0,0,0,399,3792,0,0,0,0,5473,39398,0,1513614,10810,102,10708,927389,551970,212265
GJ,Anand,0,0,0,4876,2866,0,6,0,1,33012,46764,0,2090276,9637,49,9581,1471865,935893,171851
GJ,Aravalli,0,0,0,2,106,0,0,0,0,1439,32201,0,1051746,5186,78,5108,717964,522361,122182
GJ,Banaskantha,0,0,0,390,3521,0,0,0,0,16080,82985,0,3116045,13631,162,13469,2140492,1157901,218527
GJ,Bharuch,0,0,0,1539,2936,0,0,0,0,21270,45926,0,1550822,11426,118,11308,1217587,669742,156057
GJ,Bhavnagar,1,0,0,359,1470,0,1,0,0,19467,81374,0,2877961,21447,301,21143,1680398,986097,392834
GJ,Botad,0,0,0,13,235,0,0,0,0,929,14235,0,656005,2218,42,2176,378232,228691,98559
GJ,Chhota Udaipur,0,0,0,4,818,0,0,0,0,699,19920,0,1071831,3395,38,3357,635695,420157,93838
GJ,Dahod,0,0,0,8,1930,0,0,0,0,626,53547,0,2126558,9955,38,9917,1499052,631818,218259
GJ,Dang,0,0,0,2,1,0,0,0,0,4140,3726,0,226769,866,18,848,156334,59262,31921
GJ,Devbhumi Dwarka,0,0,0,315,373,0,0,0,0,4666,24924,0,752484,4175,82,4093,504501,309771,80424
GJ,Gandhinagar,0,0,0,69,367,0,0,0,0,5475,36333,0,1387478,20754,205,20549,1175562,706208,292598
GJ,Gir Somnath,0,0,0,912,15,0,2,0,2,8524,15341,0,1217477,8570,67,8499,845224,363467,121948
GJ,Jamnagar,0,0,1,367,1366,0,5,0,3,9406,37158,0,2159130,34978,478,34494,1111813,653950,307911
GJ,Junagadh,2,0,0,62,1232,0,6,0,2,2660,71531,0,2742291,20505,272,20226,1316479,733025,199699
GJ,Kheda,0,0,0,124,2105,0,0,0,1,11668,73838,0,2298934,10439,48,10391,1454344,893742,218140
GJ,Kutch,0,0,0,15,351,0,5,0,1,8920,49662,0,2090313,12631,145,12474,1412923,680232,267060
GJ,Mahisagar,0,0,0,1,929,0,0,0,0,62,16517,0,994624,8194,72,8122,815594,459520,122796
GJ,Mehsana,0,0,0,71,723,0,0,0,1,7523,48550,0,2027727,24419,177,24242,1405786,869969,229904
GJ,Morbi,0,0,0,31,118,0,0,0,0,9950,20297,0,960329,6502,87,6415,674000,308840,157321
GJ,Narmada,0,0,0,2,12,0,0,0,2,546,13890,0,590379,5955,15,5940,413260,279684,76134
GJ,Navsari,0,0,1,62,2009,0,5,0,13,1852,29095,0,1330711,7215,24,7181,948673,647484,129099
GJ,Other State,0,0,0,0,0,0,0,0,0,0,0,0,0,162,3,159,0,0,108
GJ,Panchmahal,0,0,0,80,1246,0,0,0,0,7294,44832,0,2388267,11770,70,11700,1105110,626003,160981
GJ,Patan,0,0,0,20,259,0,0,0,0,3369,37745,0,1342746,11624,129,11495,850462,533438,169059
GJ,Porbandar,0,0,0,48,1062,0,0,0,0,1140,13063,0,586062,3486,19,3467,419364,256377,97912
GJ,Rajkot,0,0,7,43,153,0,7,0,7,17510,53546,0,3157676,57976,725,57243,2227111,1255012,731251
GJ,Sabarkantha,0,0,0,66,1181,0,1,0,0,4232,45789,0,2427346,9317,157,9159,1000517,596705,182090
GJ,Surat,4,0,4,2525,7090,0,38,1,30,35083,115694,0,4996391,143874,1956,141885,4781894,2529712,1938229
GJ,Surendranagar,0,0,0,51,647,0,0,0,0,18641,79795,0,1755873,8121,136,7985,1113845,715931,201153
GJ,Tapi,0,0,0,14,111,0,0,0,0,3010,23409,0,806489,4441,24,4417,527345,303297,92524
GJ,Vadodara,6,0,2,437,12194,0,36,0,14,16527,182027,0,3639775,78159,788,77335,2612578,1940514,695670
GJ,Valsad,3,0,6,84,46,0,25,1,25,6616,36430,0,1703068,6405,53,6308,1232139,704675,155380
HP,Bilaspur,11,0,12,6,329,0,133,0,77,695,15071,0,382056,14374,85,14120,323204,234916,39738
HP,Chamba,0,0,2,146,1749,0,27,0,13,1439,18796,0,518844,13687,160,13492,364258,198146,53505
HP,Hamirpur,11,0,50,0,32,0,288,4,228,713,26076,0,454293,17379,287,16741,377332,269143,46407
HP,Kangra,40,1,108,2,23,0,657,10,454,2399,39940,0,1507223,50818,1125,48872,1182563,725754,94910
HP,Kinnaur,0,0,1,0,0,0,2,0,6,95,517,0,84298,3507,38,3465,79673,63209,6730
HP,Kullu,0,0,3,0,0,0,19,0,18,889,9323,0,437474,9692,158,9496,351261,203549,12012
HP,Lahaul and Spiti,0,0,0,0,0,0,0,0,0,30,412,0,31528,2953,18,2935,31920,20986,540
HP,Mandi,4,0,5,99,2275,0,140,3,141,1156,26214,0,999518,31606,448,30983,775242,479355,41895
HP,Shimla,4,0,9,20,1688,0,100,3,66,2224,37351,0,813384,27549,641,26786,678341,412640,32922
HP,Sirmaur,0,0,0,52,1185,0,1,0,0,1388,22247,0,530164,15456,211,15244,423793,209631,42564
HP,Solan,4,0,2,33,493,0,25,0,27,1393,21242,0,576670,22817,314,22472,691163,339630,57200
HP,Una,11,0,6,24,396,0,145,0,124,824,16782,0,521057,14268,253,13804,434945,286819,52905
HR,Ambala,0,0,0,100,587,0,2,0,1,3021,25458,0,1136784,30150,509,29639,873020,571772,206003
HR,Bhiwani,0,0,0,578,2454,0,0,0,0,6166,25664,0,1629109,22409,652,21757,741251,317765,176225
HR,Charkhi Dadri,0,0,0,2,35,0,0,0,2,941,11884,0,502276,5078,139,4939,364599,262184,58525
HR,Faridabad,1,0,0,818,1577,0,18,0,7,17515,30156,0,1798954,99902,716,99157,1658940,840997,504970
HR,Fatehabad,0,0,0,30,37,0,0,0,0,1800,7458,0,941522,17875,481,17394,574546,201763,27456
HR,Gurugram,7,0,8,264,1637,0,55,0,48,20221,48107,0,1514085,181428,922,180454,2193114,1377160,742619
HR,Hisar,0,0,0,58,111,0,2,0,0,5821,12364,0,1742815,53995,1136,52857,994213,332162,322039
HR,Jhajjar,0,0,0,569,996,0,1,0,0,8229,19599,0,956907,18849,328,18514,684511,293496,186853
HR,Jind,0,0,0,490,567,0,1,0,0,13366,21662,0,1332042,21209,533,20675,704573,250859,11157
HR,Kaithal,0,0,0,69,149,0,0,0,2,4183,11836,0,1072861,11244,346,10898,615168,217439,11687
HR,Karnal,1,0,0,617,217,0,1,0,0,8109,23328,0,1506323,40037,552,39484,1000120,451876,185147
HR,Kurukshetra,0,0,0,55,199,0,1,0,1,4064,9522,0,964231,22147,357,21789,610380,248125,198881
HR,Mahendragarh,0,0,0,205,529,0,0,0,0,4857,10632,0,921680,21689,155,21534,576527,264911,143253
HR,Nuh,0,0,0,2433,583,0,0,0,0,10812,3789,0,1089406,5014,123,4890,354422,78081,93389
HR,Palwal,0,0,0,358,259,0,0,0,0,7558,9496,0,1040493,11025,153,10872,608874,221786,139809
HR,Panchkula,1,0,2,127,1033,0,10,0,12,1786,10743,0,558890,30770,378,30379,456675,279951,118725
HR,Panipat,1,0,0,375,1054,0,1,0,0,7950,12888,0,1202811,31150,638,30510,830805,273172,58863
HR,Rewari,0,0,0,83,353,0,0,0,4,2550,9877,0,896129,20327,221,20106,648724,294989,151363
HR,Rohtak,0,0,0,311,953,0,0,0,1,11409,17219,0,1058683,25903,534,25350,674649,305282,25894
HR,Sirsa,0,0,0,47,92,0,3,0,2,4263,8228,0,1295114,29282,508,28771,786205,278920,150193
HR,Sonipat,0,0,0,785,2190,0,0,0,1,9421,21065,0,1480080,47138,254,46884,989125,411915,238963
HR,Yamunanagar,0,0,0,102,185,0,0,0,6,6471,16554,0,1214162,24631,414,24215,831598,340196,196131
JH,Bokaro,0,0,0,3236,4363,0,15,0,13,27554,34375,0,2061918,19461,286,19170,994497,333330,11798
JH,Chatra,0,0,0,909,1813,0,0,0,0,5946,11402,0,1042304,6033,53,5977,454807,126700,0
JH,Deoghar,0,0,0,985,2299,0,2,0,1,9801,19008,0,1491879,10835,113,10721,569167,230458,6951
JH,Dhanbad,0,0,1,2811,3597,0,24,0,13,33374,34095,0,2682662,16589,382,16196,1185934,446946,0
JH,Dumka,0,0,1,1460,2659,0,2,0,2,12679,22872,0,1321096,4636,47,4589,638722,229944,5400
JH,East Singhbhum,0,0,3,1925,4669,0,47,2,42,11994,29238,0,2291032,51974,1046,50907,1424376,661091,0
JH,Garhwa,0,0,1,4770,3027,0,6,0,7,17210,15386,0,1322387,6895,94,6801,456056,148421,0
JH,Giridih,0,0,0,2411,3577,0,0,0,0,16994,29823,0,2445203,8964,130,8834,994417,301193,11132
JH,Godda,0,0,0,906,1883,0,1,0,1,7385,16537,0,1311382,5840,87,5753,527710,198198,10980
JH,Gumla,0,0,0,465,744,0,5,0,0,4900,8696,0,1025656,9900,38,9857,387738,156364,0
JH,Hazaribagh,0,0,0,678,1243,0,3,0,3,11940,21857,0,1734005,19593,186,19404,865943,317137,0
JH,Jamtara,0,0,0,973,1373,0,4,1,3,9614,12331,0,790207,5599,61,5534,381155,137216,2880
JH,Khunti,0,0,0,354,367,0,0,0,0,3335,3834,0,530299,7820,96,7724,227503,107053,3852
JH,Koderma,0,0,0,45,235,0,0,0,0,3393,11488,0,717169,12872,136,12736,363078,140609,0
JH,Latehar,0,0,0,1158,773,0,0,0,0,9565,7719,0,725673,7871,57,7814,294989,84919,0
JH,Lohardaga,0,0,0,188,166,0,0,0,2,3444,3563,0,461738,6709,88,6621,173109,63130,7526
JH,Pakur,0,0,0,3009,2636,0,0,0,0,9945,9107,0,899200,2552,12,2539,378048,108941,6429
JH,Palamu,0,0,0,5270,6713,0,0,0,0,21657,37375,0,1936319,12294,110,12184,788026,311074,0
JH,Ramgarh,0,0,0,645,944,0,7,0,0,5306,10927,0,949159,13923,197,13714,522017,185442,0
JH,Ranchi,10,0,2,4743,4594,0,182,0,228,35099,38856,0,2912022,86116,1585,84495,1512114,656001,0
JH,Sahibganj,0,0,0,1336,947,0,0,0,0,10449,13687,0,1150038,4834,42,4792,430948,132560,5029
JH,Saraikela-Kharsawan,0,0,0,682,490,0,0,0,0,11215,12399,0,1063458,7207,67,7137,505417,167980,161796
JH,Simdega,0,0,0,67,189,0,0,0,0,1694,4126,0,599813,7193,92,7101,277357,112059,0
JH,Unknown,0,0,0,0,0,0,-166,0,-70,0,0,0,0,0,0,0,0,0,0
JH,West Singhbhum,0,0,0,895,962,0,5,0,5,12587,16980,0,1501619,13054,133,12918,630437,225607,0
JK,Anantnag,2,0,2,69,4677,0,10,0,12,1472,30949,0,1070144,16603,205,16378,759605,402717,0
JK,Bandipora,1,0,0,12,639,0,13,0,19,349,6835,0,385099,9814,102,9693,303665,154345,0
JK,Baramulla,10,0,6,42,2327,0,96,0,64,1665,29357,0,1015503,24613,282,24196,776258,450002,0
JK,Budgam,10,0,10,113,2657,0,63,0,53,1409,22456,0,735753,23844,207,23548,592075,319587,0
JK,Doda,2,0,0,74,1079,0,18,0,26,1065,19212,0,409576,7869,133,7704,313983,158751,0
JK,Ganderbal,7,0,2,33,1116,0,31,0,12,370,9271,0,297003,10436,79,10313,227349,133812,0
JK,Jammu,3,0,6,86,593,0,20,0,37,4121,16781,0,1526406,53324,1145,52145,1168448,610537,0
JK,Kathua,0,0,0,108,2053,0,0,1,5,1867,22270,0,615711,9327,152,9175,482584,249588,0
JK,Kishtwar,0,0,0,85,320,0,1,0,0,3948,3385,0,230696,4819,44,4773,164754,78041,0
JK,Kulgam,1,0,2,39,1610,0,2,0,5,632,20244,0,422786,11489,117,11367,401091,202260,0
JK,Kupwara,5,0,4,165,8743,0,25,0,25,3959,42820,0,875564,14463,166,14268,673594,348327,0
JK,Pulwama,4,0,0,24,1414,0,5,0,5,1021,16829,0,570060,15512,194,15309,430622,244300,139552
JK,Punch,0,0,0,45,3190,0,7,0,14,695,27765,0,476820,6482,98,6371,386098,234540,0
JK,Rajouri,0,0,0,56,752,0,4,0,7,1247,9544,0,619266,11272,237,11031,498787,241407,0
JK,Ramban,1,0,0,155,829,0,3,0,0,1498,10369,0,283313,6043,67,5971,220690,147086,0
JK,Reasi,0,0,2,240,1808,0,4,0,10,1644,15636,0,314714,6626,43,6575,244379,133971,0
JK,Samba,0,0,0,40,468,0,0,0,2,1207,6224,0,318611,7152,120,7032,280700,122554,0
JK,Shopiyan,0,0,0,6,302,0,0,0,0,139,7669,0,265960,5607,58,5549,203036,95122,0
JK,Srinagar,49,0,45,394,11547,0,305,2,274,2788,80075,0,1269751,75539,846,74242,957347,592016,0
JK,Udhampur,0,0,0,76,700,0,4,0,2,2420,14763,0,555357,11415,137,11275,425945,227785,0
KA,Bagalkote,0,0,0,823,98,0,0,0,0,57683,22844,0,1890826,35178,333,34843,1188016,613422,49851
KA,Ballari,0,0,2,2415,483,0,9,0,14,54006,84805,0,2532383,97763,1689,95961,1758198,864065,402407
KA,Belagavi,6,0,1,427,825,0,20,1,21,39701,98350,0,4778439,79900,938,78879,3165252,1386668,396565
KA,Bengaluru Rural,3,0,3,118,994,0,23,2,27,5196,22700,0,987257,62005,890,61073,700825,385704,240277
KA,Bengaluru Urban,137,7,204,2109,11462,0,1165,37,1093,48836,247281,0,9588910,1251872,16281,1229059,9219875,5903791,6883888
KA,Bidar,0,0,0,408,740,0,0,0,5,13739,30558,0,1700018,24340,400,23936,929776,515993,67689
KA,Chamarajanagara,0,0,4,25,399,0,6,0,15,2102,36658,0,1020962,33001,500,32469,647951,351940,5156
KA,Chikkaballapura,2,1,0,16,22,0,11,3,8,4700,19860,0,1254377,43951,429,43501,852473,497674,15089
KA,Chikkamagaluru,3,0,4,14,29,0,28,0,93,4830,13010,0,1137753,51126,395,50662,737417,346002,5467
KA,Chitradurga,3,0,3,2340,1956,0,17,0,12,45062,47252,0,1660378,36666,206,36412,1020280,618156,4393
